0.272727 0.867616 0.857751 -2.12414 -2.16714 -19.6313 -20.3258 0.233045 0.233291
0.292929 0.820469 0.809957 -2.53698 -2.55778 -17.8207 -18.3138 0.250111 0.25015
0.313131 0.765387 0.754694 -2.90889 -2.90584 -15.7914 -16.1159 0.266142 0.265967
0.333333 0.703243 0.692858 -3.23554 -3.20796 -13.5796 -13.7741 0.280988 0.280599
0.353535 0.634988 0.625405 -3.51334 -3.46168 -11.2238 -11.3307 0.294515 0.293923
0.373737 0.561637 0.55333 -3.73957 -3.66537 -8.76426 -8.82761 0.306609 0.305836
0.393939 0.484254 0.477652 -3.91236 -3.81823 -6.24202 -6.30533 0.31718 0.316256
0.414141 0.403929 0.3994 -4.03072 -3.92026 -3.69819 -3.80219 0.326155 0.325118
0.434343 0.321764 0.319595 -4.09452 -3.97222 -1.1732 -1.35381 0.333488 0.332383
0.454545 0.238856 0.239234 -4.1045 -3.97554 1.29392 1.00754 0.339151 0.338027
0.474747 0.156278 0.159281 -4.06219 -3.93229 3.66621 3.25326 0.343141 0.342051
0.494949 0.0750642 0.0806502 -3.96989 -3.84504 5.90942 5.35875 0.345474 0.344472
0.515152 -0.00380483 0.00420121 -3.8306 -3.71686 7.99252 7.30358 0.346189 0.345325
0.535354 -0.0794155 -0.0692731 -3.64796 -3.55114 9.88822 9.07152 0.345343 0.344662
0.555556 -0.150933 -0.139051 -3.42613 -3.3516 11.5733 10.6505 0.343008 0.342551
0.575758 -0.217612 -0.20449 -3.16976 -3.12215 13.0289 12.0325 0.339277 0.339073
0.59596 -0.278805 -0.265024 -2.88384 -2.8668 14.2408 13.2133 0.334253 0.334321
0.616162 -0.333968 -0.320173 -2.57363 -2.58964 15.1995 14.1921 0.328053 0.328401
0.636364 -0.382664 -0.369537 -2.24456 -2.29473 15.8999 14.9713 0.320803 0.321424
0.656566 -0.424567 -0.412797 -1.90213 -1.98605 16.3418 15.5562 0.312637 0.313511
0.676768 -0.459464 -0.449714 -1.55179 -1.66745 16.5292 15.9544 0.303696 0.304788
0.69697 -0.487249 -0.480127 -1.19891 -1.34262 16.4704 16.1754 0.294121 0.295385
0.717172 -0.507922 -0.503943 -0.848621 -1.01502 16.1775 16.2304 0.284057 0.285434
